Period,Address,Minimum Temperature,Maximum Temperature,Temperature,Relative Humidity,Wind Speed,Precipitation,Cloud Cover,Latitude,Longitude,Resolved Address
Jan,Missouri ,12.8,63,35.8,73.17,26.4,3.86,60.7,38.57751,-92.17784,"MO, United States"
Feb,Missouri ,11.9,71.1,37.9,66.68,20.8,2.15,48,38.57751,-92.17784,"MO, United States"
Mar,Missouri ,28.1,82.1,50.3,65.48,32.2,4.5,44.9,38.57751,-92.17784,"MO, United States"
Apr,Missouri ,30.8,91.1,55,60.14,26.4,4.23,42,38.57751,-92.17784,"MO, United States"
May,Missouri ,37.1,89.1,64.4,68.51,32.2,2.47,47.3,38.57751,-92.17784,"MO, United States"
Jun,Missouri ,56.9,92,77.2,63.96,21.9,3.67,20.4,38.57751,-92.17784,"MO, United States"
Jul,Missouri ,66.8,96.2,80.7,69.56,18.3,7.21,25,38.57751,-92.17784,"MO, United States"
Aug,Missouri ,55.1,93.8,74.5,70.29,23,1.43,23.3,38.57751,-92.17784,"MO, United States"
Jan,Texas ,36,81,57.3,65.45,18.3,1.68,40.6,30.26759,-97.74299,"TX, United States"
Feb,Texas ,32,80.1,54.8,63.26,16.1,2.29,42.9,30.26759,-97.74299,"TX, United States"
Mar,Texas ,45,91.1,67.9,70.82,15,4.04,58.4,30.26759,-97.74299,"TX, United States"
Apr,Texas ,44.1,97.1,69.1,64.76,15,2.73,39,30.26759,-97.74299,"TX, United States"
May,Texas ,55.2,97.1,77.1,63.26,16.1,8.36,34.4,30.26759,-97.74299,"TX, United States"
Jun,Texas ,64.1,100.1,82.6,61.62,12.8,2.55,34.5,30.26759,-97.74299,"TX, United States"
Jul,Texas ,74,107.1,87.1,59.74,13.9,0.62,27.8,30.26759,-97.74299,"TX, United States"
Aug,Texas ,71.1,107.1,88.6,50.59,11.4,0,12.2,30.26759,-97.74299,"TX, United States"
Jan,Florida ,29.9,80,56.6,70.77,23,1.35,51.4,30.4398,-84.2806,"FL, United States"
Feb,Florida ,29.9,82.9,57.4,75.24,25.2,5.18,53.2,30.4398,-84.2806,"FL, United States"
Mar,Florida ,34.1,88.1,68.7,72.83,22.6,2.23,52.7,30.4398,-84.2806,"FL, United States"
Apr,Florida ,46.1,92.8,69.4,64.26,22.8,4.52,47.7,30.4398,-84.2806,"FL, United States"
May,Florida ,45,92,74.5,64.05,19.5,4.4,42.2,30.4398,-84.2806,"FL, United States"
Jun,Florida ,64.9,96.1,79.5,72.75,21.7,9.39,50.6,30.4398,-84.2806,"FL, United States"
Jul,Florida ,71.9,97.1,81.5,79.53,33.5,7.03,43.9,30.4398,-84.2806,"FL, United States"
Aug,Florida ,71,97.1,81.3,82.02,22.3,5.54,32.9,30.4398,-84.2806,"FL, United States"
Jan,Kentucky ,14,71.9,40.2,71.11,26.3,4.41,59.7,38.19507,-84.87869,"KY, United States"
Feb,Kentucky ,12.8,68,38.7,71.36,24.1,4.18,55,38.19507,-84.87869,"KY, United States"
Mar,Kentucky ,23.1,80.9,51.8,66.44,25.2,4.68,47.1,38.19507,-84.87869,"KY, United States"
Apr,Kentucky ,25.1,83,53.3,64.41,27.6,4.85,48.6,38.19507,-84.87869,"KY, United States"
May,Kentucky ,29,86,62.7,69.92,25.1,5.69,47.7,38.19507,-84.87869,"KY, United States"
Jun,Kentucky ,45,91.1,73.9,67.17,24,4.11,27.9,38.19507,-84.87869,"KY, United States"
Jul,Kentucky ,60.2,93.8,79.2,72.03,19.5,3.82,23.3,38.19507,-84.87869,"KY, United States"
Aug,Kentucky ,56,89.9,74.2,74.03,18.3,4.75,32.4,38.19507,-84.87869,"KY, United States"
Jan,Oklahoma ,21.2,70.5,42.5,72.81,33.7,3.14,48.8,35.47204,-97.52107,"OK, United States"
Feb,Oklahoma ,15.8,75.5,42.1,65.56,25.3,0.66,57.1,35.47204,-97.52107,"OK, United States"
Mar,Oklahoma ,30.4,92.3,55.5,70.08,32.2,5.53,59.4,35.47204,-97.52107,"OK, United States"
Apr,Oklahoma ,30.2,89,57.6,66.79,33.9,2.08,53.6,35.47204,-97.52107,"OK, United States"
May,Oklahoma ,42.8,93.5,67.7,69.04,35.4,3.77,49,35.47204,-97.52107,"OK, United States"
Jun,Oklahoma ,55.8,96.6,78.4,62.79,32.5,3.28,33.5,35.47204,-97.52107,"OK, United States"
Jul,Oklahoma ,68.3,97.9,81.8,69.67,50.8,7.64,40.5,35.47204,-97.52107,"OK, United States"
Aug,Oklahoma ,61.9,95,79.4,64.23,25.3,0.94,34.8,35.47204,-97.52107,"OK, United States"
