Location,Year,Yearly Average Temp,Average Precipitation
Oklahoma,1990,61.84,5.29
Oklahoma,1991,61.77,5.41
Oklahoma,1992,60.08,4.99
Oklahoma,1993,58.4,15.24
Oklahoma,1994,60.04,4.37
Oklahoma,1995,59.54,5.53
Oklahoma,1996,59.23,4.73
Oklahoma,1997,59.13,3.33
Oklahoma,1998,62.79,3.88
Oklahoma,1999,61.78,3.93
Oklahoma,2000,60.41,4.69
Oklahoma,2001,60.73,3.12
Oklahoma,2002,59.28,3.58
Oklahoma,2003,60.02,2.25
Oklahoma,2004,60.48,3.93
Oklahoma,2005,61.16,2.03
Oklahoma,2006,63.46,2.04
Oklahoma,2007,61.05,4.49
Oklahoma,2008,60.6,2.64
Oklahoma,2009,60.06,2.82
Oklahoma,2010,60.87,2.68
Florida,1990,68.82,4.64
Florida,1991,67.98,5.55
Florida,1992,66.4,5.35
Florida,1993,66.94,4.10
Florida,1994,67.67,7.21
Florida,1995,67.33,4.47
Florida,1996,65.82,3.92
Florida,1997,67.28,4.39
Florida,1998,69.21,3.45
Florida,1999,67.7,3.51
Florida,2000,66.63,3.61
Florida,2001,66.93,5.82
Florida,2002,67.68,5.38
Florida,2003,66.38,6.02
Florida,2004,67.08,4.67
Florida,2005,67.63,6.32
Florida,2006,68.18,3.99
Florida,2007,68.38,3.96
Florida,2008,67.21,4.37
Florida,2009,67.54,5.66
Florida,2010,66.09,4.46
Kentucky,1990,57.12,4.28
Kentucky,1991,57.2,3.45
Kentucky,1992,54.98,4.21
Kentucky,1993,54.86,3.98
Kentucky,1994,55.59,3.74
Kentucky,1995,55.22,4.16
Kentucky,1996,54.07,3.78
Kentucky,1997,53.65,4.60
Kentucky,1998,57.05,4.32
Kentucky,1999,56.52,2.74
Kentucky,2000,54.59,3.59
Kentucky,2001,55.78,4.42
Kentucky,2002,56.11,4.74
Kentucky,2003,53.97,4.94
Kentucky,2004,55.22,5.58
Kentucky,2005,56.11,2.92
Kentucky,2006,56.19,4.56
Kentucky,2007,57.17,3.57
Kentucky,2008,54.85,3.69
Kentucky,2009,54.75,4.25
Kentucky,2010,55.5,3.51
Missouri,1990,56.39,4.93
Missouri,1991,56.71,3.35
Missouri,1992,55,3.83
Missouri,1993,53.1,6.65
Missouri,1994,55.08,4.84
Missouri,1995,54.43,3.86
Missouri,1996,54.06,2.81
Missouri,1997,53.83,2.77
Missouri,1998,57.36,4.17
Missouri,1999,56.76,2.95
Missouri,2000,55.58,4.15
Missouri,2001,56.43,5.53
Missouri,2002,55.69,3.58
Missouri,2003,55.11,4.44
Missouri,2004,55.66,5.18
Missouri,2005,57.23,2.76
Missouri,2006,57.96,2.23
Missouri,2007,57.26,2.55
Missouri,2008,54.78,4.51
Missouri,2009,55.38,4.59
Missouri,2010,56.44,3.47
Texas,1990,69.62,3.05
Texas,1991,68.13,5.63
Texas,1992,67.95,5.04
Texas,1993,67.82,2.92
Texas,1994,68.85,4.31
Texas,1995,68.31,3.34
Texas,1996,68.37,1.92
Texas,1997,66.53,2.71
Texas,1998,69.85,3.28
Texas,1999,69.08,2.54
Texas,2000,69.33,3.54
Texas,2001,67.14,4.59
Texas,2002,67.73,3.38
Texas,2003,68.4,1.94
Texas,2004,68.19,4.66
Texas,2005,69.12,2.10
Texas,2006,70.55,2.96
Texas,2007,67.74,4.22
Texas,2008,69.58,1.37
Texas,2009,69.33,2.84
Texas,2010,67.83,3.09
