Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1984,97.8,97.5,97.4,98.8,99.5,99.0,97.7,96.8,97.3,97.9,97.6,96.7,97.9,98.4,97.3
1985,94.4,93.0,95.2,98.8,100.7,101.6,101.8,100.8,99.7,98.9,99.4,99.7,98.7,97.3,100.0
1986,98.5,92.8,81.4,73.8,76.4,79.0,74.0,70.2,71.6,69.5,68.9,69.1,77.1,83.7,70.5
1987,72.8,76.0,76.6,78.5,79.1,80.8,82.2,84.3,84.0,83.2,83.2,82.0,80.2,77.3,83.2
1988,79.7,78.3,77.5,79.4,81.4,81.4,82.3,84.1,83.1,81.6,81.5,80.3,80.9,79.6,82.2
1989,79.6,80.3,81.5,92.1,96.6,96.0,94.4,91.0,88.8,88.9,87.2,85.8,88.5,87.7,89.4
1990,91.4,90.6,89.3,91.2,92.5,94.6,94.3,103.2,112.0,118.9,119.0,117.1,101.2,91.6,110.8
1991,108.3,99.7,94.6,96.1,100.2,100.5,98.2,99.3,99.8,98.3,99.4,98.4,99.4,99.9,98.9
1992,94.5,92.9,93.4,95.0,99.4,102.9,102.8,101.7,101.7,101.6,102.2,100.2,99.0,96.4,101.7
1993,98.6,98.0,97.3,98.4,99.7,99.8,98.1,97.0,96.1,99.7,98.4,94.8,98.0,98.6,97.4
1994,92.6,93.6,93.3,94.8,96.0,98.2,100.5,104.1,103.7,101.8,102.7,100.4,98.5,94.8,102.2
1995,98.7,98.0,97.5,99.5,104.2,106.1,103.6,101.1,99.8,98.3,96.4,96.4,100.0,100.7,99.3
1996,98.6,98.2,101.4,108.6,113.6,111.2,108.9,106.4,106.2,105.9,107.8,108.6,106.3,105.3,107.3
1997,108.6,108.1,106.4,106.0,105.7,105.9,103.9,107.6,109.3,106.7,104.6,101.9,106.2,106.8,105.7
1998,97.8,94.1,90.9,91.7,94.7,94.8,93.7,91.6,90.0,90.8,89.7,86.2,92.2,94.0,90.3
1999,85.0,83.6,86.3,100.9,101.4,99.2,102.5,107.8,110.3,110.0,109.3,112.2,100.7,92.7,108.7
2000,112.6,118.1,131.7,128.7,128.3,139.0,136.1,128.4,135.2,133.1,133.0,127.8,129.3,126.4,132.3
2001,126.6,127.5,124.1,133.6,146.8,142.0,125.6,121.9,131.4,116.3,104.5,96.1,124.7,133.4,116.0
2002,97.9,98.2,107.7,121.4,121.4,120.1,120.8,121.5,121.7,124.5,124.4,119.7,116.6,111.1,122.1
2003,126.3,140.4,148.1,140.6,131.3,130.1,130.6,139.0,147.1,136.6,131.2,127.8,135.8,136.1,135.4
2004,136.7,143.1,150.5,155.9,170.5,173.3,165.2,162.0,161.2,173.1,171.9,161.2,160.4,155.0,165.8
2005,156.4,164.3,175.9,193.9,188.2,185.5,197.5,212.7,249.5,237.1,199.7,187.3,195.7,177.4,214.0
2006,199.2,198.1,205.8,235.4,250.9,248.4,255.6,254.4,220.1,193.8,191.4,199.3,221.0,223.0,219.1
2007,193.900,195.377,220.515,242.944,265.781,260.655,252.909,238.194,239.104,239.048,262.282,258.132,239.070,229.862,248.278
2008,260.523,259.242,278.739,294.291,322.124,347.418,349.731,323.822,315.078,268.537,187.189,149.132,279.652,293.723,265.582
2009,156.604,167.395,168.404,177.272,193.609,225.021,217.860,225.089,220.690,219.015,228.050,224.730,201.978,181.384,222.572
2010,234.106,227.674,237.671,244.801,246.671,234.868,234.642,235.690,232.518,240.303,245.165,256.025,239.178,237.632,240.724
